start	end	text
00:02:41.400	00:02:43.800	대시보드, 문서나 스프레드시트 같은
00:02:43.800	00:02:46.720	웹서비스를 직접 사용하면서 복잡하고
00:02:46.720	00:02:48.599	여러 단계로 이루어진 작업을 수행할
00:02:48.599	00:02:50.959	수 있도록 만들어져 있습니다. 특히
00:02:50.959	00:02:52.640	몇 번의 클릭으로 끝나는 간단한
00:02:52.640	00:02:54.920	작업뿐만 아니라 몇 분에서 몇
00:02:54.920	00:02:57.000	시간까지 걸리는 작업도 계속 수행할
00:02:57.000	00:02:58.959	수 있다는 점을 어사이드의 중요한
00:02:58.959	00:03:01.360	특징으로 내세우고 있습니다. 결국
00:03:01.360	00:03:03.879	어사이드가 지향하는 방향은 단순히
00:03:03.879	00:03:05.879	브라우저에 AI 채팅창을 하나 붙여
00:03:05.879	00:03:08.120	놓는 것보다는 내가 브라우저에서
00:03:08.120	00:03:09.879	실제로 하고 있던 업무를 어느
00:03:09.879	00:03:12.440	정도까지 AI에게 넘겨 줄 수 있을까
00:03:12.440	00:03:14.480	여기에 더 초점을 맞춘 브라우저라고
00:03:14.480	00:03:16.760	볼 수 있겠네요. 그럼 실제로
00:03:16.760	00:03:18.599	어사이드를 어떻게 사용할 수 있는지도
00:03:18.599	00:03:21.000	한번 살펴볼게요. 설치 자체는
00:03:21.000	00:03:22.879	일반적인 브라우저를 설치하는 것과
00:03:22.879	00:03:25.360	크게 다르지 않습니다. 화면에 보이는
00:03:25.360	00:03:28.239	업사이드 홈페이지에서 우측 상단에
00:03:28.239	00:03:30.879	다운로드 버튼을 눌러 설치한 다음
00:03:30.879	00:03:32.879	기본적인 설정만 진행하면 바로
00:03:32.879	00:03:35.120	사용하실 수 있습니다. 처음 설정할
00:03:35.120	00:03:37.360	때 기존 브라우저의 방문 기록이나
00:03:37.360	00:03:39.519	쿠키, 북마크 같은 데이터를 가져올
00:03:39.519	00:03:41.599	수 있어서 기존에 쓰던 브라우징
00:03:41.599	00:03:43.599	환경을 비교적 그대로이어서 사용할 수
00:03:43.599	00:03:45.159	있습니다. 그리고 현재는
00:03:45.159	00:03:47.599	메고OS에서만 사용이 가능하지만 9월
00:03:47.599	00:03:49.640	초 윈도우 버전 출시를 목표로 하고
00:03:49.640	00:03:51.640	있다고 하니 곧 윈도우에서도 사용해
00:03:51.640	00:03:53.799	볼 수 있을 것 같습니다. 구독 같은
00:03:53.799	00:03:56.159	경우에는 어사이드 자체에도 프로
00:03:56.159	00:03:58.400	맥스와 같은 구독 플랜이 있지만
00:03:58.400	00:04:00.959	채지나 클로드 같이 이미 쓰고 있는
00:04:00.959	00:04:03.200	구독 플랜이 있으시면 기존 구독을
00:04:03.200	00:04:04.840	어사이드에 연결해서 사용할 수도
00:04:04.840	00:04:07.239	있습니다. 또 별도로 사용하고 있는
00:04:07.239	00:04:09.319	API 키가 있다면 이걸 연결해서
00:04:09.319	00:04:11.360	사용하는 것도 가능합니다. 설치가
00:04:11.360	00:04:13.120	완료되면 이렇게 어사이드의 메인
00:04:13.120	00:04:15.360	화면이 나오게 되는데요. 바로 사용해
00:04:15.360	00:04:17.400	보기 전에 먼저 설정부터 간단하게
00:04:17.400	00:04:19.759	한번 살펴보겠습니다. 설정 안에는
00:04:19.759	00:04:22.360	사용할 AI 모델부터 메모리,
00:04:22.360	00:04:24.680	비밀번호 관리처럼 어사이드의 주요
00:04:24.680	00:04:26.320	기능과 관련된 설정들이 들어가
00:04:26.320	00:04:28.360	있는데요. 모든 설정을 하나씩
00:04:28.360	00:04:30.560	살펴보기다는 실제로 사용할 때
00:04:30.560	00:04:32.680	알아두면 좋은 기능들을 중심으로 몇
00:04:32.680	00:04:35.240	가지만 짚어 보겠습니다. 어피어런스
00:04:35.240	00:04:37.600	탭을 클릭하면 여기서 브라우저의
00:04:37.600	00:04:40.160	기본적인 UI를 변경할 수 있는데요.
00:04:40.160	00:04:43.000	탭 스타일은 샌프란시스코와 뉴욕.
00:04:43.000	00:04:44.560	이렇게 두 가지 중에서 선택할 수
00:04:44.560	00:04:47.520	있습니다. 먼저 샌프란시스코는
00:04:47.520	00:04:49.759	일반적인 브라우저처럼 탭이 화면
00:04:49.759	00:04:52.240	상단에 가로로 표시되는 방식입니다.
00:04:52.240	00:04:55.039	반대로 뉴욕은 탭이 왼쪽 사이드바에
00:04:55.039	00:04:58.560	세로로 표시되는 방식이고요.
00:04:58.560	00:05:00.800	평소 크롬처럼 상단 탭에 익숙하신
00:05:00.800	00:05:03.479	분들은 샌프란시스커가 편할 수 있고
00:05:03.479	00:05:05.840	탭을 많이 열어두고 사용하시는 분들은
00:05:05.840	00:05:07.440	뉴욕 방식이 더 편하게 느껴질 수
00:05:07.440	00:05:09.919	있겠네요.이 부분은 사용 방식에 따라
00:05:09.919	00:05:11.600	편한 스타일을 선택하시면 될 거
00:05:11.600	00:05:14.080	같습니다. 아래 모델 탭에서는
00:05:14.080	00:05:16.320	업사이드에서 사용할 AI 모델과
00:05:16.320	00:05:18.600	관련된 설정을 확인할 수 있는데요.
00:05:18.600	00:05:20.880	앞에서 말씀드린 것처럼 어사이드
00:05:20.880	00:05:23.000	플랜을 통해 제공되는 AI 모델을
00:05:23.000	00:05:25.120	사용할 수도 있고 기존에 사용하고
00:05:25.120	00:05:28.080	있는 채치T나 클로드 구독 또는
00:05:28.080	00:05:29.800	API 키를 연결해서 사용할 수도
00:05:29.800	00:05:31.800	있습니다. 그리고 여기서부터가
00:05:31.800	00:05:33.560	어사이드의 특징을 조금 더 잘
00:05:33.560	00:05:35.520	보여주는 기능들인데요. 먼저
00:05:35.520	00:05:37.120	메모리입니다.
00:05:37.120	00:05:39.000	사이드는 내가 브라우저에서 어떤
00:05:39.000	00:05:41.240	사이트를 보고 있었고 어떤 작업을
00:05:41.240	00:05:43.440	하고 있었는지를 기억해서 나중에
00:05:43.440	00:05:45.720	AI에게 작업을 요청할 때이 맥락을
00:05:45.720	00:05:48.520	활용할 수 있습니다. 예를 들어 어제
00:05:48.520	00:05:50.680	어떤 지원자의 프로필을 확인했다고 해
00:05:50.680	00:05:53.560	볼게요. 다음날 업사이드에게 어제
00:05:53.560	00:05:55.520	봤던 지원자 찾아서 인터뷰 노트
00:05:55.520	00:05:57.600	준비해 줘. 이런 식으로 요청할 수
00:05:57.600	00:06:00.120	있는 거죠. 매번 어떤 사이트에서 뭘
00:06:00.120	00:06:02.280	받는지 처음부터 설명하지 않아도
00:06:02.280	00:06:04.240	이전에 했던 브라우징을 바탕으로
00:06:04.240	00:06:05.800	필요한 정보를 찾아갈 수 있다는
00:06:05.800	00:06:07.639	겁니다. 그리고 중요한 부분이 하나
00:06:07.639	00:06:10.080	있는데요.이 메모리 데이터는 외브
00:06:10.080	00:06:12.199	서버가 아니라 사용자의 기기 안에
00:06:12.199	00:06:14.560	로컬로 조정되도록 설계되어 있습니다.
00:06:14.560	00:06:16.680	브라우저 기록을 AI가 기억한다고
00:06:16.680	00:06:18.720	하면 개인 정보 측면에서 조금
00:06:18.720	00:06:20.880	부담스럽게 느껴질 수도 있는데이
00:06:20.880	00:06:23.400	부분을 로컬 중심으로 설계한 거죠.
00:06:23.400	00:06:25.800	물론 필요하지 않다면 설정에서 메모리
00:06:25.800	00:06:28.199	기능을 관리할 수도 있습니다. 그리고
00:06:28.199	00:06:30.400	실제로 AI에게 업무를 맡길 때 꽤
00:06:30.400	00:06:32.360	중요한 기능이 하나 더 있습니다.
00:06:32.360	00:06:35.120	바로 패스워드 매니저인데요. AI에게
00:06:35.120	00:06:37.400	실제 웹사이트에서 업무를 맡기다 보면
00:06:37.400	00:06:39.280	결국 로그인이라는 문제가 생기게
00:06:39.280	00:06:41.280	됩니다. 예를 들어 어떤 업무
00:06:41.280	00:06:43.240	사이트에 들어가야 하는데 로그인이
00:06:43.240	00:06:45.960	풀려 있다면 일반적인 AI 에이전트는
00:06:45.960	00:06:47.800	여기서 사용자에게 직접 로그인해
00:06:47.800	00:06:50.360	달라고 요청할 수 있겠죠. 어사이드는
00:06:50.360	00:06:52.120	AI 에이전트를 위한 패스워드
00:06:52.120	00:06:54.319	매니저를 별도로 제공하고 있습니다.
00:06:54.319	00:06:56.639	저장된 로그인 정보를 이용해서 필요한
00:06:56.639	00:06:58.840	사이트에 자동으로 로그인할 수 있고
00:06:58.840	00:07:00.720	기존에 사용하던 다른 비밀번호
00:07:00.720	00:07:02.560	관리자를 연결해서 활용하는 것도
00:07:02.560	00:07:04.840	가능합니다. 중요한 건 로그인
00:07:04.840	00:07:07.000	과정에서 비밀번호 자체를 AI
00:07:07.000	00:07:09.160	모델에게 보여 주는 방식이 아니라
00:07:09.160	00:07:11.360	브라우저가 필요한 입력란에 자동으로
00:07:11.360	00:07:12.960	채워주는 방식으로 동작한다는
00:07:12.960	00:07:15.479	점인데요. 덕분에 에이전트에게 로그인
00:07:15.479	00:07:18.080	작업을 맡기면서도 비밀번호 자체가
00:07:18.080	00:07:20.240	AI 모델에 직접 노출되는 부담을
00:07:20.240	00:07:22.680	줄일 수 있습니다. 이렇게 설정해서
00:07:22.680	00:07:25.000	주요 기능들을 살펴봤으니 이제 다시
00:07:25.000	00:07:27.000	메인 화면으로 돌아가서 실제로
00:07:27.000	00:07:29.000	어사이드를 어떻게 사용하는지 조금 더
00:07:29.000	00:07:31.639	자세히 살펴보겠습니다. 기본적인 사용
00:07:31.639	00:07:34.080	방식 자체는 크게 어렵지 않습니다.
00:07:34.080	00:07:36.520	일반 브라우저처럼 원하는 웹사이트를
00:07:36.520	00:07:38.800	직접 열어서 사용할 수도 있고
00:07:38.800	00:07:40.919	AI에게 자연으로 원하는 작업을
00:07:40.919	00:07:43.879	요청할 수도 있는데요. 오른쪽 상단에
00:07:43.879	00:07:46.520	스크 어사이드를 클릭하고이
00:07:46.520	00:07:50.639	페이지 내용을 요약해 줘.처럼
00:07:50.639	00:07:52.840	단순하게 지금 보고 있는 페이지를
00:07:52.840	00:07:55.560	기준으로 질문할 수도 있고 조금 더
00:07:55.560	00:07:57.120	복잡하게는
00:07:57.120	00:08:01.400	어사이드 홈페이지에서 요금제와 환불
00:08:01.400	00:08:05.039	정책을 찾아서 정리해 줘.라고
00:08:05.039	00:08:07.240	라고 요청해서 사이트 안에 여러
00:08:07.240	00:08:09.560	페이지를 직접 확인하며 필요한 정보를
00:08:09.560	00:08:11.720	찾아오게 할 수도 있습니다. 실제로
00:08:11.720	00:08:14.599	보시면 요금제 페이지와 이용감
00:08:14.599	00:08:16.720	페이지를 확인한 뒤 필요한 내용만
00:08:16.720	00:08:18.440	추려서 정리해 준 걸 볼 수
00:08:18.440	00:08:21.080	있습니다. 여기서 중요한 건 요청을
00:08:21.080	00:08:23.479	할 때 AI에게 단순히 질문을
00:08:23.479	00:08:26.280	던진다기보다는 내가 브라우저에서 직접
00:08:26.280	00:08:28.199	하려고 했던 일을 그대로 설명해
00:08:28.199	00:08:30.039	준다는 느낌으로 사용하면 된다는
00:08:30.039	00:08:32.560	점입니다. 그리고 여기서 더 나아가면
00:08:32.560	00:08:35.159	단순히 정보를 찾아오는 것뿐만 아니라
00:08:35.159	00:08:37.680	실제 웹사이트 안에서 버튼을 누르거나
00:08:37.680	00:08:39.360	내용을 입력하는 작업도 바뀔 수
00:08:39.360	00:08:41.800	있는데요. 그런데 이런 작업을 맡기
00:08:41.800	00:08:43.760	전에 한 가지 알아둘게 있습니다.
00:08:43.760	00:08:46.000	어사이드에서는 에이전트가 내 컴퓨터의
00:08:46.000	00:08:48.240	파일과 폴더에 어느 정도까지 접근할
00:08:48.240	00:08:49.600	수 있도록 할지 설정할 수가
00:08:49.600	00:08:52.760	있는데요. 리드 온리, 가드 풀
00:08:52.760	00:08:55.279	엑세스 이렇게 세 가지가 있습니다.
00:08:55.279	00:08:57.640	리드 온리에서는 접근 범위를 현재
00:08:57.640	00:09:00.560	작업 폴더로 제한할 수 있고 가드는
00:09:00.560	00:09:03.200	도큐먼트나 다운로드 같은 기본적인
00:09:03.200	00:09:05.600	위치에는 접근하되 그 외에 폴더에
00:09:05.600	00:09:07.880	접근할 때는 먼저 확인을 요청합니다.
00:09:07.880	00:09:10.560	반대로 풀 엑세스를 선택하면 컴퓨터
00:09:10.560	00:09:12.920	전체에서 파일을 읽고 쓸 수 있도록
00:09:12.920	00:09:15.160	권한을 넓힐 수 있고요. 그리고
00:09:15.160	00:09:18.000	파이널 컨펌을 켜 주면 메일 전송이나
00:09:18.000	00:09:21.200	결제, 삭제, 제출처럼 실제 결과에
00:09:21.200	00:09:23.480	영향을 주는 작업을 실행하기 전에 한
00:09:23.480	00:09:25.000	번 더 확인하도록 설정할 수도
00:09:25.000	00:09:27.720	있습니다. 저는 기본 설정인 가드로
00:09:27.720	00:09:29.680	두고 조금 더 직접적인 작업을 하나
00:09:29.680	00:09:32.680	시켜 보겠습니다. G에 들어가서 내일
00:09:32.680	00:09:34.640	오후 3시 미팅 일정이 맞는지
00:09:34.640	00:09:36.920	확인하는 짧은 메일을 작성해 달라고
00:09:36.920	00:09:39.320	해 볼게요. 단 실제로 전송하지는
00:09:39.320	00:09:40.839	말고 작성까지만 해 달라고
00:09:40.839	00:09:45.110	하겠습니다.
00:09:45.120	00:09:47.320	보시면 어사이드가 직접 Gma로
00:09:47.320	00:09:50.240	이동하고 메일 작성을 연 다음 제목과
00:09:50.240	00:09:52.760	본문을 입력해 줍니다. 그리고 이런
00:09:52.760	00:09:54.839	에이전트 작업은 별도의 백그라운드
00:09:54.839	00:09:57.200	탭에서 진행되기 때문에 작업 과정을
00:09:57.200	00:09:59.160	확인하면서도 제가 사용하고 있는
00:09:59.160	00:10:01.800	화면에 포커스를 빼앗기지 않습니다.
00:10:01.800	00:10:04.200	덕분에 에이전트에게 작업을 맡겨 놓고
00:10:04.200	00:10:06.440	저는 다른 탭에서 제 작업을 계속할
00:10:06.440	00:10:08.920	수도 있는 거죠. 이런 식으로 단순히
00:10:08.920	00:10:11.040	웹페이지에 정보를 읽거나 찾아주는
00:10:11.040	00:10:13.440	것에서 끝나는게 아니라 실제로 우리가
00:10:13.440	00:10:15.399	브라우저에서 하던 작업 자체를
00:10:15.399	00:10:17.600	AI에게 맡길 수도 있습니다.
00:10:17.600	00:10:19.600	지금까지는 주로 하나의 서비스 안에서
00:10:19.600	00:10:21.760	작업을 맡겨 봤는데요. 이번에는
00:10:21.760	00:10:23.720	여기서 한 단계 더 나아가 여러
00:10:23.720	00:10:25.720	서비스를 오가면서 하나의 업무를
00:10:25.720	00:10:27.920	처리하는 작업을 맡겨 보겠습니다.
00:10:27.920	00:10:30.120	업무를 하다 보면메일로 일정 안내를
00:10:30.120	00:10:32.560	받은 다음 그 내용을 다시 캘린더에
00:10:32.560	00:10:34.640	등록해야 하는 경우가 있는데요.
00:10:34.640	00:10:36.880	그래서 이번에는 GL에서 미팅과
00:10:36.880	00:10:39.760	관련된 메일을 찾아서 시간과 장소,
00:10:39.760	00:10:42.240	주요 내용을 확인하고 그 내용을 구글
00:10:42.240	00:10:44.200	캘린더에 일정으로 등록해 달라고 해
00:10:44.200	00:10:46.760	보겠습니다. 이번에는 하나의 서비스
00:10:46.760	00:10:48.639	안에서 작업이 끝나는게 아니라
00:10:48.639	00:10:50.480	Gmail에서 필요한 정보를 확인한
00:10:50.480	00:10:52.920	다음 구글 캘린더로 이동해서 실제
00:10:52.920	00:10:55.440	후속 작업까지 처리해야 하는 거죠.
00:10:55.440	00:10:58.160	GL에서 미팅 일정과 관련된 메일을
00:10:58.160	00:11:01.160	찾아서 날짜, 시간, 장소, 주요
00:11:01.160	00:11:03.200	내용을 확인한 다음 그 정보를
00:11:03.200	00:11:05.560	바탕으로 구글 캘린더의 일정을 만들어
00:11:05.560	00:11:09.240	줘. 이렇게 요청해 보겠습니다.
00:11:09.240	00:11:12.120	그럼 어사이드가 GL에 들어가서 미팅
00:11:12.120	00:11:14.360	관련 메일을 찾기 시작합니다.
00:11:14.360	00:11:16.920	메일에서 날짜와 시간, 장소 같은
00:11:16.920	00:11:19.200	필요한 정보를 파악한 다음 이번에는
00:11:19.200	00:11:21.360	구글 캘린더로 이동해서 일정을 만들어
00:11:21.360	00:11:24.470	줍니다.
00:11:24.480	00:11:27.440	만들어진 일정을 한번 볼까요?
00:11:27.440	00:11:30.760	보시면 메일에 있던 날짜와 시간,
00:11:30.760	00:11:32.760	장소를 바탕으로 캘린더 일정이
00:11:32.760	00:11:35.040	생성됐고요. 논의 내용이나 준비
00:11:35.040	00:11:37.680	사항처럼 메일에 포함된 주요 내용도
00:11:37.680	00:11:40.040	일정 설명에 함께 정리되어 있습니다.
00:11:40.040	00:11:42.680	여기서 중요한 건 제가 메일을 찾아
00:11:42.680	00:11:45.160	줘, 내용을 정리해 줘, 캘린더를
00:11:45.160	00:11:47.600	열어 줘, 일정을 만들어 줘. 이렇게
00:11:47.600	00:11:49.040	각각 따로 요청한게 아니라는
00:11:49.040	00:11:51.560	점입니다. 하나의 요청만 했는데
00:11:51.560	00:11:53.839	Gmail에서 필요한 정보를 확인하고
00:11:53.839	00:11:56.000	그 내용을 바탕으로 구글 캘린더로
00:11:56.000	00:11:58.000	이동해서 후속 작업까지이어서 처리한
00:11:58.000	00:12:00.800	거죠. 이런 식으로 어사이드는 하나의
00:12:00.800	00:12:02.880	웹사이트 안에서 작업하는 것을 넘어
00:12:02.880	00:12:05.160	여러 웹사이트를 오가면서 여러 단계로
00:12:05.160	00:12:07.279	이루어진 작업도 맡길 수 있습니다.
00:12:07.279	00:12:09.200	그리고 이런 작업을 매번 직접
00:12:09.200	00:12:11.000	요청하는게 아니라 반복적으로
00:12:11.000	00:12:13.079	실행되도록 설정할 수도 있습니다.
00:12:13.079	00:12:14.839	어사이드에는 루틴이라는 기능이
00:12:14.839	00:12:17.360	있는데요. 예를 들어 매일 아침 특정
00:12:17.360	00:12:19.839	사이트의 정보를 확인해서 정리하거나
00:12:19.839	00:12:22.040	정해진 주기로 반복해야 하는 브라우저
00:12:22.040	00:12:24.600	작업을 루틴으로 만들어 두면 매번
00:12:24.600	00:12:26.480	같은 요청을 다시 입력하지 않아도
00:12:26.480	00:12:28.600	자동으로 실행되게 할 수 있습니다.
00:12:28.600	00:12:30.279	루틴을 만드는 방법은 몇 가지가
00:12:30.279	00:12:33.800	있는데요. 먼저 설정의 루틴 탭에서
00:12:33.800	00:12:36.160	크리에이트 버튼을 눌러서 직접 새
00:12:36.160	00:12:38.519	루틴을 만들 수 있고요. 또 스캠
00:12:38.519	00:12:40.959	버튼을 누르면 제가 이전에 반복해서
00:12:40.959	00:12:43.839	수행했던 작업들을 어사이드가 찾아서
00:12:43.839	00:12:45.680	루틴으로 만들한 작업을 제한해
00:12:45.680	00:12:48.199	줍니다. 그리고 이미 에이전트에게
00:12:48.199	00:12:50.399	어떤 작업을 요청한 상태라면 그
00:12:50.399	00:12:53.079	대화에서이 작업을 루틴으로 만들어
00:12:53.079	00:12:55.720	줘라고 직접 요청해서 반복 작업으로
00:12:55.720	00:12:57.880	등록할 수도 있습니다. 그래서
00:12:57.880	00:12:59.800	반복적으로 해야 하는 브라우저 업무가
00:12:59.800	00:13:02.240	있다면 처음 한번 작업 방법을 정해
00:13:02.240	00:13:04.440	놓고 이후에는 루틴으로 자동화해서
00:13:04.440	00:13:06.680	사용하는 방식도 가능합니다. 그리고
00:13:06.680	00:13:08.480	어사이드는 여러 확장 기능들도
00:13:08.480	00:13:11.360	제공하는데요. 기본적으로 크롬이나
00:13:11.360	00:13:14.240	구글 어카운트, 문서 작업처럼 특정
00:13:14.240	00:13:16.399	작업을 처리하기 위한 스킬이 내장되어
00:13:16.399	00:13:18.920	있고 필요한 스킬을 추가로 가져와서
00:13:18.920	00:13:21.279	사용할 수도 있습니다. 또 MCP를
00:13:21.279	00:13:23.160	연결해서 외부 도구와 연동할 수도
00:13:23.160	00:13:26.040	있고요. 개발자라면 CLI를 통해
00:13:26.040	00:13:28.079	코덱스나 클로드 코드 같은 에이전트
00:13:28.079	00:13:30.440	도구에서 어사이드 브라우저를 이용해
00:13:30.440	00:13:32.160	직접 브라우저 작업을 수행하도록 할
00:13:32.160	00:13:35.040	수도 있습니다. 이번 영상에서는 이런
00:13:35.040	00:13:37.440	확장 방식도 지원한다는 정도만 짚고
00:13:37.440	00:13:40.000	넘어가겠습니다. 여기까지 여사이드가
00:13:40.000	00:13:42.240	실제로 어떤 방식으로 작업하는지 몇
00:13:42.240	00:13:44.680	가지 예제를 통해 살펴봤는데요. 제가
00:13:44.680	00:13:46.639	직접 사용해 보면서 가장 인상적이었던
00:13:46.639	00:13:49.079	건 다른 AI 브라우저들에 비해
00:13:49.079	00:13:51.839	체감상 작업 속도가 꽤 빠르고 이미
00:13:51.839	00:13:53.519	로그인되어 있는 세션을 그대로
00:13:53.519	00:13:55.800	활용하면서 여러 웹사이트에서 작업을
00:13:55.800	00:13:58.040	이어갈 수 있다는 점이었습니다. 특히
00:13:58.040	00:14:00.199	여러 사이트를 오가면서 반복적으로
00:14:00.199	00:14:02.639	정보를 찾거나 한 서비스에서 확인한
00:14:02.639	00:14:04.600	내용을 다른 서비스로 옮겨야 하는
00:14:04.600	00:14:06.959	작업에서는 꽤 편리하게 느껴졌고요.
00:14:06.959	00:14:09.000	또 이미 사용하고 있는 채치피pt
00:14:09.000	00:14:10.680	클로드 구독을 연결할 수 있다는
00:14:10.680	00:14:13.360	점이나 메모리와 패스워드 매니저처럼
00:14:13.360	00:14:15.519	실제 업무를 에이전트에게 맡기기 위한
00:14:15.519	00:14:17.560	기능들이 브라우저 안에 함께 들어가
00:14:17.560	00:14:19.600	있다는 것도 인상적이었습니다.
00:14:19.600	00:14:21.440	물론 아직 모든 작업을 완벽하게
00:14:21.440	00:14:23.279	처리하는 건 아니기 때문에 중요한
00:14:23.279	00:14:26.000	작업에서는 중간 과정이나 결과를 직접
00:14:26.000	00:14:27.880	확인할 필요는 있어 보입니다.
00:14:27.880	00:14:30.160	개인적으로는 하루 업무의 상당 부분을
00:14:30.160	00:14:32.480	브라우저에서 하고 여러 웹서비스를
00:14:32.480	00:14:34.759	오가면서 자료를 찾거나 정리하는 일이
00:14:34.759	00:14:36.800	많은 분들이라면 한번 사용해 보셔도
00:14:36.800	00:14:38.600	좋을 것 같습니다. 반대로
00:14:38.600	00:14:40.720	브라우저에서는 단순히 웹서핑 정도만
00:14:40.720	00:14:43.360	하고 AI에게 실제 업무를 맡길 일이
00:14:43.360	00:14:45.560	많지 않다면 기존 브라우저와의 차이를
00:14:45.560	00:14:47.560	크게 느끼지 못할 수도 있고요.
00:14:47.560	00:14:49.320	오늘은 이렇게 어사이드 브라우저를
00:14:49.320	00:14:51.639	직접 사용해 보면서 주요 기능과 실제
00:14:51.639	00:14:54.079	활용 방식까지 살펴봤는데요. AI
00:14:54.079	00:14:56.320	브라우저가 안에서 실제로 어떤 일을
00:14:56.320	00:14:58.440	대신할 수 있는지 궁금하셨던 분들에게
